possible_table_name,parent_table_name,node_name,node_category,node_subpart_type,asset_class
AT DESIGNATED TEMPERTURE,PUMPED FLUID,process_fluids,primary_equipments,,pump
BASEPLATE,,construction_accessories,primary_equipments,,pump
COOLER,seal auxiliary system,equipments,auxiliary_equipments,seal_auxiliary_system,pump
TEST AT PUMP MANUFACTURER - SEAL SPECIFIC,INSPECTION & TESTING,testing_inspections,primary_equipments,,pump
COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
ARRANGEMENT 3,SEAL SPECIFICATION,equipments,auxiliary_equipments,seal_specification,pump
PUMP ORIENTATION,,equipments,primary_equipments,,pump
INSTRUMENT AIR,SITE AND UTILITY DATA,instrumentation,primary_equipments,,pump
MATERIALS,,materials,primary_equipments,,pump
NOZZLE CONNECTIONS,mechanical data,nozzles,primary_equipments,,pump
LEVEL INSTRUMENTS,instrumentation,instrumentation,primary_equipments,,pump
PAINT AND SHIPMENT PREPARATION,,construction_accessories,primary_equipments,,pump
CASING MOUNTING,CONSTRUCTION,construction_accessories,primary_equipments,,pump
BASEPLATE,SURFACE PREPARATION AND PAINT,construction_accessories,primary_equipments,,pump
DRIVERS,,driver_motor,primary_equipments,,pump
EXTERNAL SEAL FLUSH SYSTEMS,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
LIQUID,PUMP PERFORMANCE DATASHEET,process_fluids,primary_equipments,,pump
QUENCH DATA,fluid data,process_fluids,primary_equipments,,pump
MATERIAL,PUMP PERFORMANCE DATASHEET,materials,primary_equipments,,pump
PISTON ACCUMULATOR,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
PRESSURE INSTRUMENTS,INSTRUMENTATION,instrumentation,primary_equipments,,pump
SPRINGS,SEAL MATERIALS,materials,auxiliary_equipments,seal_auxiliary_system,pump
PRESSURE INSTRUMENTS,instrumentation,instrumentation,primary_equipments,,pump
WELDING AND REPAIRS,,testing_inspections,primary_equipments,,pump
SITE & UTILITY DATA,,others,primary_equipments,,pump
Construction,CONSTRUCTION,construction_accessories,primary_equipments,,pump
SEAL SUPPORT SYSTEM MOUNTING,,construction_accessories,auxiliary_equipments,seal_auxiliary_system,pump
SEAL CHAMBER DATA,SEAL MATERILAS,equipments,auxiliary_equipments,seal_auxiliary_system,pump
APPLICABLE SPECIFICATIONS,,equipments,primary_equipments,,pump
GENERAL,seal auxiliary system,equipments,auxiliary_equipments,seal_auxiliary_system,pump
INSPECTION & TESTING,inspection & testing,testing_inspections,primary_equipments,,pump
METAL BELLOWS,SEAL MATERILAS,materials,auxiliary_equipments,seal_auxiliary_system,pump
INSTRUMENTATION,,instrumentation,primary_equipments,,pump
CONNECTION LINES,SEAL AUXILIARY SYSTEM,construction_accessories,auxiliary_equipments,seal_auxiliary_system,pump
GENERAL,SEAL AUXILIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
OPERATING_CONDITIONS,operating conditions,operating_conditions,primary_equipments,,pump
GENERAL,SEAL AUXULIARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
PERFORMANCE,Pump Performance Datasheet,performance,primary_equipments,,pump
PROJECT PHASE,,meta_data,primary_equipments,,pump
SEAL SPECIFICATION,,equipments,auxiliary_equipments,seal_auxiliary_system,pump
SPARE PARTS,SURFACE PREPARATION AND PAINT,equipments,primary_equipments,,pump
PUMPED FLUID,,process_fluids,primary_equipments,,pump
DRIVER & POWER DATA,Pump Performance Datasheet,driver_motor,primary_equipments,,pump
SURFACE PREPARATION AND PAINT,SURFACE PREPARATION AND PAINT,construction_accessories,primary_equipments,,pump
LEVEL- INSTRUMENTS,SEAL AUXILIARY SYSTEM,instrumentation,auxiliary_equipments,seal_auxiliary_system,pump
COLLECT. RESERVOIR FOR LIQUID LEKAGE,SEAL AUXILIARY SYSTEM,construction_accessories,auxiliary_equipments,seal_auxiliary_system,pump
ACCESSORIES,,construction_accessories,primary_equipments,,pump
CONSTRUCTION,CONSTRUCTION,construction_accessories,primary_equipments,,pump
MEASURED AT CAPACITY,PERFORMANCE,performance,primary_equipments,,pump
QUENCH FLUID,FLUID DATA,process_fluids,primary_equipments,,pump
FLOW-INSTRUMENTS,SEAL AUXILARY SYSTEM,instrumentation,auxiliary_equipments,seal_auxiliary_system,pump
