standard_property_name,possible_table_name,parent_table_name,node_name,node_category,node_subpart_type,asset_class
special_fittings_for_transitioning,CONSTRUCTION,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
special_fittings_for_transitioning,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
special_fittings_for_transitioning_6_4_3_3,CONSTRUCTION,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
special_fittings_for_transitioning_6_4_3_3,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
special_fittings_for_transitioning_6_4_3_3,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
suction_pressure_regions_designed_for_mawp,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
suction_pressure_regions_designed_for_mawp,CONSTRUCTION,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
threaded_connections_for_pipeline_service_and_less_than_50_degrees_celsius,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
threaded_connections_for_pipeline_service_and_less_than_50_degrees_celsius,CONSTRUCTION,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
threaded_connections_for_pipeline_service_and_less_than_50_degrees_celsius_6_4_3_2,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
threaded_connections_for_pipeline_service_and_less_than_50_degrees_celsius_6_4_3_2,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
threaded_connections_for_pipeline_service_and_less_than_50_degrees_celsius_6_4_3_2,CONSTRUCTION,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
threaded_connections_for_pipeline_service_and_less_than_50c,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
type_diaphragm,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
type_plunger,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
valves_feed_number_discharge,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
valves_feed_number_suction,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
valves_feed_type_discharge,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
valves_feed_type_suction,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
vent_valve_supplied_by,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
vent_valve_supplied_by,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
vent_valve_supplied_by,CONSTRUCTION,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
vents_manifolded,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
vents_manifolded,CONSTRUCTION,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
vents_manifolded,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
vs_6_drain,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
vs_6_drain,CONSTRUCTION,,construction_accessories,primary_equipments,asset,pump
vs_6_drain,CONSTRUCTION,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
window_on_coupling_guard,CONSTRUCTION,CONSTRUCTION,construction_accessories,primary_equipments,asset,pump
signal_electronic,CONTROLS,,instrumentation,primary_equipments,asset,pump
signal_pneumatic,CONTROLS,,instrumentation,primary_equipments,asset,pump
stroke_control_electronic_maximum,CONTROLS,,instrumentation,primary_equipments,asset,pump
stroke_control_electronic_minimum,CONTROLS,,instrumentation,primary_equipments,asset,pump
stroke_control_pneumatic_maximum,CONTROLS,,instrumentation,primary_equipments,asset,pump
stroke_control_pneumatic_minimum,CONTROLS,,instrumentation,primary_equipments,asset,pump
type_automatic,CONTROLS,,instrumentation,primary_equipments,asset,pump
type_local,CONTROLS,,instrumentation,primary_equipments,asset,pump
type_manual,CONTROLS,,instrumentation,primary_equipments,asset,pump
type_remote,CONTROLS,,instrumentation,primary_equipments,asset,pump
air_cooler,COOLER,SEAL AUXILARY SYSTEM,equipments,auxiliary_equipments,seal_auxiliary_system,pump
air_cooler,COOLER,,equipments,primary_equipments,asset,pump
