standard_property_name,client_property_name,possible_table_name,parent_table_name,node_name,node_category,node_subpart_type,asset_class
process_and_instrumentation_diagram,"P&ID","DESCRIPTION",,meta_data,primary_equipments,,drum
process_data_sheet_title,"Process Data Sheet Title","META DATA",,meta_data,primary_equipments,,drum
project,"Project","META DATA",,meta_data,primary_equipments,,drum
project_name,"Project Name","META DATA",,meta_data,primary_equipments,,drum
section,"Section","META DATA",,meta_data,primary_equipments,,drum
service,"Service","DESCRIPTION",,meta_data,primary_equipments,,drum
sheet_number,"Sheet Number","META DATA",,meta_data,primary_equipments,,drum
density,"DENSITY,Density","OPERATING DATA,SHAFT SEALING FLUID PROPERTIES,PROCESS FLUID","AGITATOR",process_fluids,auxiliary_equipments,agitator,drum
density,"DENSITY,Density","OPERATING DATA,SHAFT SEALING FLUID PROPERTIES,PROCESS FLUID",,process_fluids,primary_equipments,,drum
density_bulk,"Density: Bulk,Density Bulk","PROCESS FLUID","AGITATOR",process_fluids,auxiliary_equipments,agitator,drum
density_range,"Density Range","PROCESS FLUID","AGITATOR",process_fluids,auxiliary_equipments,agitator,drum
density_true,"Density True,Density: True","PROCESS FLUID","AGITATOR",process_fluids,auxiliary_equipments,agitator,drum
max_liquid_level,"Max Liquid Level","PROCESS FLUID","AGITATOR",process_fluids,auxiliary_equipments,agitator,drum
min_liquid_level,"Min Liquid Level","PROCESS FLUID","AGITATOR",process_fluids,auxiliary_equipments,agitator,drum
powder_particles_size_average,"Powder Particles Size: Average,Powder Particles Size Average","PROCESS FLUID","AGITATOR",process_fluids,auxiliary_equipments,agitator,drum
powder_particles_size_max,"Powder Particles Size Max,Powder Particles Size: Max","PROCESS FLUID","AGITATOR",process_fluids,auxiliary_equipments,agitator,drum
viscosity,"VISCOSITY,Viscosity","SHAFT SEALING FLUID PROPERTIES,PROCESS FLUID","AGITATOR","process_fluids",auxiliary_equipments,agitator,drum
viscosity,"VISCOSITY,Viscosity","SHAFT SEALING FLUID PROPERTIES,PROCESS FLUID",,"equipments",primary_equipments,,drum
temperature,"TEMPERATURE,Temperature","DESIGN_CONDITIONS,OPERATING DATA,SHAFT SEALING FLUID PROPERTIES","AGITATOR","testing_inspections",auxiliary_equipments,agitator,drum
temperature,"TEMPERATURE,Temperature","DESIGN_CONDITIONS,OPERATING DATA,SHAFT SEALING FLUID PROPERTIES","AGITATOR","testing_inspections",auxiliary_equipments,agitator,drum
revision_number,"Revision Number","META DATA",,revisions,primary_equipments,,drum
code,"Code,CODE","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
design_pressure,"DESIGN PRESSURE","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
design_pressure_drum,"Design Pressure: Drum","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
design_pressure_jacket,"Design Pressure: Jacket","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
design_temperature,"DESIGN TEMPERATURE","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
design_temperature_drum,"Design Temperature: Drum","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
design_temperature_jacket,"Design Temperature: Jacket","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
earth_connection,"Earth Connection,EARTH CONNECTION","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
earthquake,"Earthquake,EARTHQUAKE","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
external_fire_condition,"External Fire Condition,EXTERNAL FIRE CONDITION","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
fire_proofing,"FIRE PROOFING,Fire Proofing","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
insulation,"Insulation,INSULATION","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
insulation_paint,"INSULATION PAINT","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
paint,"Paint,PAINT","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
pressure,"Pressure,PRESSURE","DESIGN_CONDITIONS,OPERATING DATA","AGITATOR",testing_inspections,auxiliary_equipments,agitator,drum
radiograph,"Radiograph,RADIOGRAPH","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
stress_relief,"STRESS RELIEF,Stress Relief","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
surface_preparation,"SURF PREP,Surf Prep","DESIGN_CONDITIONS",,testing_inspections,primary_equipments,,drum
