client_property_name,standard_property_name,possible_table_name,parent_table_name,,node_name,node_category,node_subpart_type,asset_class,reasoning,used_tool,,,,,,,,Document Name
Action on control signal failure: Louvers,action_on_control_signal_failure_louvers,CONTROLS- AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3307_2.pdf
Actuator air supply,actuator_air_supply,CONTROLS- AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3307_2.pdf
Air recirculation,air_recirculation,CONTROLS- AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3307_2.pdf
Degree control of outlet process temp. (Max. Cooling),degree_control_of_outlet_process_temperature_max_cooling,CONTROLS- AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3307_2.pdf
Fan,fan,CONTROLS- AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3307_2.pdf
Louvers,louvers,CONTROLS- AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3307_2.pdf
Positioner,positioner,CONTROLS- AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3307_2.pdf
Signal air pressure (psia): From,signal_air_pressure_psia_from,CONTROLS- AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3307_2.pdf"
Signal air pressure (psia): To,signal_air_pressure_psia_to,CONTROLS- AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3307_2.pdf"
Supply air pressure (psia): From,supply_air_pressure_psia_from,CONTROLS- AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3307_2.pdf"
Supply air pressure (psia): To,supply_air_pressure_psia_to,CONTROLS- AIR SIDE,,,subparts,primary_equipments,air side,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3307_2.pdf"
Bare Tube,bare_tube,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
"Bare Tube, Clean",bare_tube_clean,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
"Bare Tube, Service",bare_tube_service,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Bay Size (W x L),bay_size_width_by_length,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf"
Bay Size (WxL),bay_size_width_length,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf"
Bay size (WxL),bay_size_width_x_length,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-S000E3630_1.pdf
Customer,customer,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Heat Exchanged,heat_exchanged,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Manufacturer,manufacturer,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
Model no.,model no.,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9612_0.pdf"
Model no.,model_number,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
"MTD, Eff.",mean_temperature_difference_efficiency,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
"MTD, Eff.",mtd_efficiency,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,BCEP-CE-SE-L000E9612_0.pdf
No. of Bays/Items,number_of_bays_items,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9360_1.pdf, BCEP-CE-SE-L000E9405_2.pdf, BCEP-CE-SE-S000E3630_1.pdf"
No. of Bays/Items,number_of_bays_or_items,DESCRIPTION,,,equipments,primary_equipments,,heat_exchanger_air_cooled,,,,,,,,,,"BCEP-CE-SE-L000E9612_0.pdf, BCEP-CE-SE-S000E3303_2.pdf, BCEP-CE-SE-S000E3307_2.pdf"
